,y,x,min_steps,steps_taken,is_done,extra_steps,t_min_over_t
0,0,0,30,601,False,571,0.04991680532445923
1,5,0,25,601,False,576,0.04159733777038269
2,10,0,20,601,False,581,0.033277870216306155
3,15,0,15,601,False,586,0.024958402662229616
4,20,0,20,601,False,581,0.033277870216306155
5,25,0,25,601,False,576,0.04159733777038269
6,30,0,30,601,False,571,0.04991680532445923
7,35,0,35,601,False,566,0.05823627287853577
8,40,0,40,601,False,561,0.06655574043261231
9,45,0,45,601,False,556,0.07487520798668885
10,50,0,50,601,False,551,0.08319467554076539
11,55,0,55,601,False,546,0.09151414309484193
12,60,0,60,601,False,541,0.09983361064891846
13,65,0,65,601,False,536,0.10815307820299501
14,70,0,70,601,False,531,0.11647254575707154
15,75,0,75,601,False,526,0.12479201331114809
16,80,0,80,601,False,521,0.13311148086522462
17,85,0,85,601,False,516,0.14143094841930118
18,90,0,90,601,False,511,0.1497504159733777
19,95,0,95,601,False,506,0.15806988352745424
20,100,0,100,601,False,501,0.16638935108153077
21,105,0,105,601,False,496,0.17470881863560733
22,110,0,110,156,True,46,0.7051282051282052
23,0,5,25,152,True,127,0.16447368421052633
24,5,5,20,601,False,581,0.033277870216306155
25,10,5,15,601,False,586,0.024958402662229616
26,15,5,10,601,False,591,0.016638935108153077
27,20,5,15,601,False,586,0.024958402662229616
28,25,5,20,142,True,122,0.14084507042253522
29,30,5,25,601,False,576,0.04159733777038269
30,35,5,30,601,False,571,0.04991680532445923
31,40,5,35,601,False,566,0.05823627287853577
32,45,5,40,601,False,561,0.06655574043261231
33,50,5,45,601,False,556,0.07487520798668885
34,55,5,50,601,False,551,0.08319467554076539
35,60,5,55,601,False,546,0.09151414309484193
36,65,5,60,601,False,541,0.09983361064891846
37,70,5,65,601,False,536,0.10815307820299501
38,75,5,70,601,False,531,0.11647254575707154
39,80,5,75,601,False,526,0.12479201331114809
40,85,5,80,601,False,521,0.13311148086522462
41,90,5,85,601,False,516,0.14143094841930118
42,95,5,90,601,False,511,0.1497504159733777
43,100,5,95,601,False,506,0.15806988352745424
44,105,5,100,601,False,501,0.16638935108153077
45,110,5,105,601,False,496,0.17470881863560733
